state_ut,Child Victims - Below 6 Years - M - Col.(3),Child Victims - Below 6 Years - F - Col.(4),Child Victims - Below 6 Years - Tr - Col.(5),Child Victims - Below 6 Years - T - Col.(6),Child Victims - 6 Years to 12 Years - M - Col.(7),Child Victims - 6 Years to 12 Years - F - Col.(8),Child Victims - 6 Years to 12 Years - Tr - Col.(9),Child Victims - 6 Years to 12 Years - T - Col.(10),Child Victims - 12 Years to 16 Years - M - Col.(11),Child Victims - 12 Years to 16 Years - F - Col.(12),Child Victims - 12 Years to 16 Years - Tr - Col.(13),Child Victims - 12 Years to 16 Years - T - Col.(14),Child Victims - 16 Years to 18 Years - M - Col.(15),Child Victims - 16 Years to 18 Years - F - Col.(16),Child Victims - 16 Years to 18 Years - Tr - Col.(17),Child Victims - 16 Years to 18 Years - T - Col.(18),Child Victims - Total Child Victims - M - Col.(19),Child Victims - Total Child Victims - F - Col.(20),Child Victims - Total Child Victims - Tr - Col.(21),Child Victims - Total Child Victims - T - Col.(22),Adult Victims - 18 Years to 30 Years - M - Col.(23),Adult Victims - 19 Years to 30 Years - F - Col.(24),Adult Victims - 20 Years to 30 Years - Tr - Col.(25),Adult Victims - 21 Years to 30 Years - T - Col.(26),Adult Victims - 30 Years to 60 Years - M - Col.(27),Adult Victims - 31 Years to 60 Years - F - Col.(28),Adult Victims - 32 Years to 60 Years - Tr - Col.(29),Adult Victims - 33 Years to 60 Years - T - Col.(30),Adult Victims - 60 Years and above - M - Col.(31),Adult Victims - 61 Years and above - F - Col.(32),Adult Victims - 62 Years and above - Tr - Col.(33),Adult Victims - 63 Years and above - T - Col.(34),Adult Victims - Total Adult Victims - M - Col.(35),Adult Victims - Total Adult Victims - F - Col.(36),Adult Victims - Total Adult Victims - Tr - Col.(37),Adult Victims - Total Adult Victims - T - Col.(38),Total Victims (Child + Adult) - M - Col.(39),Total Victims (Child + Adult) - F - Col.(40),Total Victims (Child + Adult) - Tr - Col.(41),Total Victims (Child + Adult) - T - Col.(42)
Andhra Pradesh,10.0,11.0,0.0,21.0,4.0,17.0,0.0,21.0,6.0,206.0,0.0,212.0,9.0,291.0,0.0,300.0,29.0,525.0,0.0,554.0,49.0,162.0,0.0,211.0,91.0,69.0,0.0,160.0,2.0,0.0,0.0,2.0,142.0,231.0,0.0,373.0,171.0,756.0,0.0,927
Arunachal Pradesh,0.0,0.0,0.0,0.0,1.0,4.0,0.0,5.0,5.0,22.0,0.0,27.0,2.0,10.0,0.0,12.0,8.0,36.0,0.0,44.0,4.0,14.0,0.0,18.0,14.0,5.0,0.0,19.0,0.0,0.0,0.0,0.0,18.0,19.0,0.0,37.0,26.0,55.0,0.0,81
Assam,1.0,4.0,0.0,5.0,46.0,166.0,0.0,212.0,156.0,527.0,0.0,683.0,100.0,1097.0,0.0,1197.0,303.0,1794.0,0.0,2097.0,120.0,1619.0,0.0,1739.0,204.0,1143.0,0.0,1347.0,18.0,45.0,0.0,63.0,342.0,2807.0,0.0,3149.0,645.0,4601.0,0.0,5246
Bihar,18.0,23.0,0.0,41.0,97.0,277.0,0.0,374.0,177.0,1172.0,0.0,1349.0,236.0,3027.0,0.0,3263.0,528.0,4499.0,0.0,5027.0,501.0,3438.0,0.0,3939.0,578.0,2252.0,0.0,2830.0,25.0,1.0,0.0,26.0,1104.0,5691.0,0.0,6795.0,1632.0,10190.0,0.0,11822
Chhattisgarh,12.0,16.0,0.0,28.0,104.0,124.0,0.0,228.0,225.0,980.0,0.0,1205.0,189.0,1086.0,0.0,1275.0,530.0,2206.0,0.0,2736.0,11.0,9.0,0.0,20.0,18.0,3.0,0.0,21.0,0.0,0.0,0.0,0.0,29.0,12.0,0.0,41.0,559.0,2218.0,0.0,2777
Goa,3.0,2.0,0.0,5.0,2.0,2.0,0.0,4.0,12.0,28.0,0.0,40.0,2.0,15.0,0.0,17.0,19.0,47.0,0.0,66.0,3.0,11.0,0.0,14.0,4.0,2.0,0.0,6.0,1.0,0.0,0.0,1.0,8.0,13.0,0.0,21.0,27.0,60.0,0.0,87
Gujarat,11.0,13.0,0.0,24.0,57.0,29.0,0.0,86.0,169.0,544.0,0.0,713.0,104.0,627.0,0.0,731.0,341.0,1213.0,0.0,1554.0,76.0,103.0,0.0,179.0,118.0,38.0,0.0,156.0,2.0,0.0,0.0,2.0,196.0,141.0,0.0,337.0,537.0,1354.0,0.0,1891
Haryana,15.0,19.0,0.0,34.0,86.0,46.0,0.0,132.0,246.0,781.0,0.0,1027.0,184.0,1251.0,0.0,1435.0,531.0,2097.0,0.0,2628.0,140.0,829.0,0.0,969.0,164.0,183.0,1.0,348.0,1.0,0.0,0.0,1.0,305.0,1012.0,1.0,1318.0,836.0,3109.0,1.0,3946
Himachal Pradesh,2.0,1.0,0.0,3.0,0.0,11.0,0.0,11.0,63.0,130.0,0.0,193.0,19.0,180.0,0.0,199.0,84.0,322.0,0.0,406.0,6.0,20.0,0.0,26.0,6.0,4.0,0.0,10.0,0.0,0.0,0.0,0.0,12.0,24.0,0.0,36.0,96.0,346.0,0.0,442
Jharkhand,0.0,2.0,0.0,2.0,0.0,1.0,0.0,1.0,16.0,125.0,0.0,141.0,25.0,483.0,0.0,508.0,41.0,611.0,0.0,652.0,583.0,633.0,0.0,1216.0,13.0,21.0,0.0,34.0,0.0,0.0,0.0,0.0,596.0,654.0,0.0,1250.0,637.0,1265.0,0.0,1902
