state_ut,2020,2021,2022,population_lakh_2022,murder_rate_2022,chargesheeting_rate_murder_2022,murder_rate_2022_calc
Andhra Pradesh,853,956,925,530.3,1.7,93.1,1.7442956816896098
Arunachal Pradesh,45,49,56,15.5,3.6,75.3,3.6129032258064515
Assam,1131,1192,1072,354.9,3.0,37.1,3.0205691744153285
Bihar,3150,2799,2930,1255.3,2.3,92.1,2.334103401577312
Chhattisgarh,972,1007,1013,299.5,3.4,93.0,3.382303839732888
Goa,34,26,44,15.7,2.8,88.6,2.802547770700637
Gujarat,982,1010,959,709.3,1.4,91.8,1.3520372197941632
Haryana,1143,1112,1020,299.7,3.4,74.0,3.4034034034034035
Himachal Pradesh,91,86,85,74.4,1.1,90.3,1.1424731182795698
Jharkhand,1592,1573,1550,391.4,4.0,81.5,3.9601430761369447
Karnataka,1331,1357,1404,674.1,2.1,90.2,2.082777036048064
Kerala,306,337,334,356.8,0.9,96.1,0.9360986547085202
Madhya Pradesh,2101,2034,1978,858.9,2.3,94.7,2.3029456281290024
Maharashtra,2163,2330,2295,1257.4,1.8,92.5,1.8251948465086685
Manipur,46,46,47,32.0,1.5,37.5,1.46875
Meghalaya,79,80,72,33.3,2.2,37.3,2.1621621621621623
Mizoram,28,24,31,12.3,2.5,95.7,2.5203252032520322
Nagaland,25,27,21,22.2,0.9,62.1,0.9459459459459459
Odisha,1470,1394,1379,460.8,3.0,77.0,2.9926215277777777
Punjab,757,723,670,306.0,2.2,83.7,2.189542483660131
Rajasthan,1719,1786,1834,804.4,2.3,57.5,2.2799602187966186
Sikkim,11,14,9,6.8,1.3,100.0,1.3235294117647058
Tamil Nadu,1661,1686,1690,767.1,2.2,96.9,2.203102594185895
Telangana,802,1026,937,379.5,2.5,92.2,2.469038208168643
Tripura,114,122,109,41.2,2.6,72.3,2.645631067961165
Uttar Pradesh,3779,3717,3491,2340.9,1.5,83.0,1.4913067623563585
Uttarakhand,160,208,187,115.6,1.6,78.6,1.6176470588235294
West Bengal,1948,1884,1696,987.6,1.7,82.9,1.7172944511948156
Total State(S),28493,28605,27838,13403.0,2.1,81.2,2.076997687084981
Andaman And Nicobar Islands,5,16,7,4.0,1.7,87.5,1.75
Chandigarh,22,17,18,12.2,1.5,78.6,1.4754098360655739
Dadra And Nagar Haveli And Daman And Diu,13,14,16,12.0,1.3,88.9,1.3333333333333333
Delhi,472,459,509,211.0,2.4,95.1,2.4123222748815167
Jammu And Kashmir,149,136,99,135.4,0.7,82.4,0.7311669128508124
Ladakh,0,5,5,3.0,1.7,80.0,1.6666666666666667
Lakshadweep,0,1,0,0.7,0.0,0.0,0.0
Puducherry,39,19,30,16.2,1.9,96.2,1.8518518518518519
Total Ut (S),700,667,684,394.5,1.7,92.1,1.7338403041825095
Total All India,29193,29272,28522,13797.5,2.1,81.5,2.067186084435586
