state_ut,population_2011,literacy_rate_2011,urbanization_rate_2011
Andhra Pradesh,49577103,67.02,29.47
Arunachal Pradesh,1383727,65.38,22.94
Assam,31205576,72.19,14.08
Bihar,104099452,61.8,11.3
Chhattisgarh,25545198,70.28,23.24
Goa,1458545,88.7,62.17
Gujarat,60439692,78.03,42.58
Haryana,25351462,75.55,34.88
Himachal Pradesh,6864602,82.8,10.04
Jharkhand,32988134,66.41,24.05
Karnataka,61095297,75.36,38.67
Kerala,33406061,93.91,47.72
Madhya Pradesh,72626809,69.32,27.63
Maharashtra,112374333,82.34,45.22
Manipur,2855794,76.94,30.21
Meghalaya,2966889,74.43,20.08
Mizoram,1097206,91.33,51.51
Nagaland,1978502,79.55,28.97
Odisha,41974218,72.87,16.68
Punjab,27743338,75.84,37.49
Rajasthan,68548437,66.11,24.87
Sikkim,610577,81.42,25.16
Tamil Nadu,72147030,80.09,48.45
Telangana,35193978,66.54,38.88
Tripura,3673917,87.22,26.18
Uttar Pradesh,199812341,67.68,22.27
Uttarakhand,10086292,78.82,30.55
West Bengal,91276115,77.08,31.87
Andaman And Nicobar Islands,380581,86.63,37.7
Chandigarh,1055450,86.43,97.25
Dadra And Nagar Haveli,343709,76.24,46.62
Daman And Diu,243247,87.1,75.16
Delhi,16787941,86.21,97.5
Jammu And Kashmir,12267032,67.16,27.21
Ladakh,274289,77.0,35.0
Lakshadweep,64473,91.85,78.07
Puducherry,1247953,85.85,68.33
