Sl. No.,State/UT,Murder - 2020,Murder - 2021,Murder - 2022,Rape - 2020,Rape - 2021,Rape - 2022,Attempt to Murder - 2020,Attempt to Murder - 2021,Attempt to Murder - 2022,Dowry Deaths - 2020,Dowry Deaths - 2021,Dowry Deaths - 2022,Thefts - 2020,Thefts - 2021,Thefts - 2022,Culpable Homicide not amounting to Murder - 2020,Culpable Homicide not amounting to Murder - 2021,Culpable Homicide not amounting to Murder - 2022,Other IPC Crimes - 2020,Other IPC Crimes - 2021,Other IPC Crimes - 2022,Total Convicts (IPC Crimes) - 2020,Total Convicts (IPC Crimes) - 2021,Total Convicts (IPC Crimes) - 2022
1,Andhra Pradesh,1577,1472,938,119,120,103,93,42,358,49,27,33,101,117,109,33,13,27,270,210,257,2242,2001,1825
2,Arunachal Pradesh,29,33,39,41,37,56,0,2,1,0,0,0,7,6,8,22,21,15,19,22,17,118,121,136
3,Assam,1836,1691,1735,94,90,249,130,113,92,27,33,20,77,73,29,125,92,99,227,130,181,2516,2222,2405
4,Bihar,3574,3689,3034,545,518,673,853,783,805,491,434,389,181,153,109,170,182,154,1003,710,744,6817,6469,5908
5,Chhattisgarh,3958,4635,4724,844,1120,1216,222,346,118,74,66,40,22,10,26,162,202,118,374,702,597,5656,7081,6839
6,Goa,56,26,43,13,11,16,5,5,6,0,0,0,0,0,2,3,3,4,6,6,11,83,51,82
7,Gujarat,2533,2725,2890,496,607,891,61,74,121,26,30,11,13,16,5,120,191,194,277,488,470,3526,4131,4582
8,Haryana,1035,2355,2257,425,669,864,204,330,263,126,250,215,188,339,349,64,168,91,866,1017,1094,2908,5128,5133
9,Himachal Pradesh,326,310,301,131,136,168,8,6,8,1,0,2,14,10,13,6,4,10,45,44,58,531,510,560
10,Jharkhand,2797,2827,2819,665,635,609,178,205,237,382,326,282,48,66,53,58,75,42,560,576,388,4688,4710,4430
11,Karnataka,2127,2128,1831,500,497,619,174,184,76,20,85,14,35,42,55,47,84,78,598,492,529,3501,3512,3202
12,Kerala,1224,1256,1535,239,225,433,73,88,121,3,6,3,159,125,98,59,30,41,402,297,324,2159,2027,2555
13,Madhya Pradesh,6108,11203,10562,2383,2790,3880,611,1002,1443,311,225,366,151,171,282,240,444,397,2354,2266,3373,12158,18101,20303
14,Maharashtra,3041,2166,4533,620,747,663,216,237,435,20,12,33,277,424,470,141,141,212,858,676,1311,5173,4403,7657
15,Manipur,30,33,39,52,24,14,0,0,0,0,1,0,0,0,0,2,0,0,2,2,2,86,60,55
16,Meghalaya,50,57,61,43,50,75,0,1,5,0,0,0,2,0,2,6,5,9,7,16,24,108,129,176
17,Mizoram,55,59,47,43,39,45,3,9,1,0,0,0,85,125,111,9,5,7,123,42,89,318,279,300
18,Nagaland,29,33,12,29,23,43,4,2,26,0,0,0,13,41,27,0,3,3,11,15,25,86,117,136
19,Odisha,2066,1416,1615,522,505,626,70,111,84,38,50,34,27,27,27,44,56,51,198,187,209,2965,2352,2646
20,Punjab,614,1598,1461,233,640,699,199,406,481,18,89,75,143,356,279,32,126,281,380,905,877,1619,4120,4153
21,Rajasthan,2525,1975,2047,891,871,891,207,464,454,116,38,64,179,147,200,52,63,77,599,780,920,4569,4338,4653
22,Sikkim,29,28,31,6,6,6,1,1,0,0,0,0,3,5,5,4,6,10,80,82,65,123,128,117
23,Tamil Nadu,1909,1890,1889,213,247,234,414,386,380,50,96,57,316,257,356,169,259,186,669,950,1056,3740,4085,4158
24,Telangana,1200,1282,1157,115,187,197,50,52,49,38,13,35,124,199,136,64,49,75,187,274,311,1778,2056,1960
25,Tripura,198,217,221,109,106,131,12,13,14,6,5,4,0,4,1,10,8,13,47,50,37,382,403,421
26,Uttar Pradesh,16194,16544,13779,2052,2366,3313,956,837,1292,2545,2496,2091,532,445,713,907,826,1336,1964,1998,2705,25150,25512,25229
27,Uttarakhand,974,1176,900,278,343,397,58,51,41,70,66,72,50,68,106,68,38,47,264,254,299,1762,1996,1862
28,West Bengal,2989,1335,2464,483,304,503,177,133,154,128,91,79,11,2,6,102,34,118,572,385,459,4462,2284,3783
Total (States),Total (States),59083,64159,62964,12184,13913,17614,4979,5883,7065,4539,4439,3919,2758,3228,3577,2719,3128,3695,12962,13576,16432,99224,108326,115266
29,Andaman and Nicobar Islands,37,41,37,6,3,3,1,0,0,0,0,0,1,0,0,3,1,1,5,0,1,53,45,42
30,Chandigarh,91,30,83,80,36,101,10,9,3,3,3,1,18,11,27,18,9,1,60,28,52,280,126,268
31,Dadra and Nagar Haveli and Daman and Diu,8,1,2,4,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,7,7,14,8,10
32,Delhi,515,547,572,312,358,378,100,114,103,27,15,19,28,24,30,6,18,20,319,308,367,1307,1384,1489
33,Jammu and Kashmir,67,87,86,40,48,38,4,6,1,0,1,0,1,4,1,4,3,3,5,6,18,121,155,147
34,Ladakh,0,1,1,1,1,1,0,0,0,0,0,0,3,0,0,0,0,1,0,1,0,4,3,3
35,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Puducherry,45,47,53,4,2,2,0,0,0,0,0,0,2,8,7,2,2,2,7,7,7,60,66,71
Total (UTs),Total (UTs),763,754,834,447,448,524,117,129,107,30,19,20,53,47,65,33,33,28,396,357,452,1839,1787,2030
Total (All India),Total (All India),59846,64913,63798,12631,14361,18138,5096,6012,7172,4569,4458,3939,2811,3275,3642,2752,3161,3723,13358,13933,16884,101063,110113,117296
