Sl. No.,State/UT,2020,2021,2022,Mid-Year Projected Population (in Lakhs) (2022),Rate of Murder (2022),Chargesheeting Rate (2022)
1,Andhra Pradesh,853,956,925,530.3,1.7,93.1
2,Arunachal Pradesh,45,49,56,15.5,3.6,75.3
3,Assam,1131,1192,1072,354.9,3,37.1
4,Bihar,3150,2799,2930,1255.3,2.3,92.1
5,Chhattisgarh,972,1007,1013,299.5,3.4,93
6,Goa,34,26,44,15.7,2.8,88.6
7,Gujarat,982,1010,959,709.3,1.4,91.8
8,Haryana,1143,1112,1020,299.7,3.4,74
9,Himachal Pradesh,91,86,85,74.4,1.1,90.3
10,Jharkhand,1592,1573,1550,391.4,4,81.5
11,Karnataka,1331,1357,1404,674.1,2.1,90.2
12,Kerala,306,337,334,356.8,0.9,96.1
13,Madhya Pradesh,2101,2034,1978,858.9,2.3,94.7
14,Maharashtra,2163,2330,2295,1257.4,1.8,92.5
15,Manipur,46,46,47,32,1.5,37.5
16,Meghalaya,79,80,72,33.3,2.2,37.3
17,Mizoram,28,24,31,12.3,2.5,95.7
18,Nagaland,25,27,21,22.2,0.9,62.1
19,Odisha,1470,1394,1379,460.8,3,77
20,Punjab,757,723,670,306,2.2,83.7
21,Rajasthan,1719,1786,1834,804.4,2.3,57.5
22,Sikkim,11,14,9,6.8,1.3,100
23,Tamil Nadu,1661,1686,1690,767.1,2.2,96.9
24,Telangana,802,1026,937,379.5,2.5,92.2
25,Tripura,114,122,109,41.2,2.6,72.3
26,Uttar Pradesh,3779,3717,3491,2340.9,1.5,83
27,Uttarakhand,160,208,187,115.6,1.6,78.6
28,West Bengal,1948,1884,1696,987.6,1.7,82.9
Total State(S),Total State(S),28493,28605,27838,13403,2.1,81.2
29,Andaman and Nicobar Islands,5,16,7,4,1.7,87.5
30,Chandigarh,22,17,18,12.2,1.5,78.6
31,Dadra and Nagar Haveli and Daman and Diu,13,14,16,12,1.3,88.9
32,Delhi,472,459,509,211,2.4,95.1
33,Jammu and Kashmir,149,136,99,135.4,0.7,82.4
34,Ladakh,0,5,5,3,1.7,80
35,Lakshadweep,0,1,0,0.7,0,NA
36,Puducherry,39,19,30,16.2,1.9,96.2
Total UT (S),Total UT (S),700,667,684,394.5,1.7,92.1
Total All India,Total All India,29193,29272,28522,13797.5,2.1,81.5
