Sl. No.,State/UT,Unrecovered Victims of Previous Years Kidnapping and Abduction (As on 31/12/2022) - Male - Col.(3),Unrecovered Victims of Previous Years Kidnapping and Abduction (As on 31/12/2022) - Female - Col.(4),Unrecovered Victims of Previous Years Kidnapping and Abduction (As on 31/12/2022) - Trans - Col.(5),Unrecovered Victims of Previous Years Kidnapping and Abduction (As on 31/12/2022) - Total - Col.(6),Persons Kidnapped and Abducted (2022) - Male - Col.(7),Persons Kidnapped and Abducted (2022) - Female - Col.(8),Persons Kidnapped and Abducted (2022) - Trans - Col.(9),Persons Kidnapped and Abducted (2022) - Total - Col.(10),Total Persons Kidnapped and Abducted - Male - Col.(11),Total Persons Kidnapped and Abducted - Female - Col.(12),Total Persons Kidnapped and Abducted - Trans - Col.(13),Total Persons Kidnapped and Abducted - Total - Col.(14),Persons Recovered Alive - Male - Col.(15),Persons Recovered Alive - Female - Col.(16),Persons Recovered Alive - Trans - Col.(17),Persons Recovered Alive - Total - Col.(18),Persons Recovered Dead - Male - Col.(19),Persons Recovered Dead - Female - Col.(20),Persons Recovered Dead - Trans - Col.(21),Persons Recovered Dead - Total - Col.(22),Total Recovered (Alive+Dead) - Male - Col.(23),Total Recovered (Alive+Dead) - Female - Col.(24),Total Recovered (Alive+Dead) - Trans - Col.(25),Total Recovered (Alive+Dead) - Total - Col.(26),Percentage Recovery # (Total Recovered/Total Persons Kidnapped and Abducted) * 100 - Male - Col.(27),Percentage Recovery # (Total Recovered/Total Persons Kidnapped and Abducted) * 100 - Female - Col.(28),Percentage Recovery # (Total Recovered/Total Persons Kidnapped and Abducted) * 100 - Trans - Col.(29),Percentage Recovery # (Total Recovered/Total Persons Kidnapped and Abducted) * 100 - Total - Col.(30),Un-Recovered Kidnapped and Abducted Persons (including previous years as on (31/12/2022) - Male - Col.(31),Un-Recovered Kidnapped and Abducted Persons (including previous years as on (31/12/2022) - Female - Col.(32),Un-Recovered Kidnapped and Abducted Persons (including previous years as on (31/12/2022) - Trans - Col.(33),Un-Recovered Kidnapped and Abducted Persons (including previous years as on (31/12/2022) - Total - Col.(34)
1,Andhra Pradesh,146,579,0,725,171,756,0,927,317,1335,0,1652,233,1039,0,1272,0,12,0,12,233,1051,0,1284,73.5,78.7,NA,77.7,84,284,0,368
2,Arunachal Pradesh,53,153,0,206,26,55,0,81,79,208,0,287,22,61,0,83,0,0,0,0,22,61,0,83,27.8,29.3,NA,28.9,57,147,0,204
3,Assam,5319,12080,0,17399,645,4601,0,5246,5964,16681,0,22645,1057,7048,0,8105,1,0,0,1,1058,7048,0,8106,17.7,42.3,NA,35.8,4906,9633,0,14539
4,Bihar,3024,14282,0,17306,1632,10190,0,11822,4656,24472,0,29128,1935,14262,0,16197,28,29,0,57,1963,14291,0,16254,42.2,58.4,NA,55.8,2693,10181,0,12874
5,Chhattisgarh,290,1470,0,1760,559,2218,0,2777,849,3688,0,4537,459,2226,0,2685,10,20,0,30,469,2246,0,2715,55.2,60.9,NA,59.8,380,1442,0,1822
6,Goa,13,46,0,59,27,60,0,87,40,106,0,146,26,49,0,75,1,0,0,1,27,49,0,76,67.5,46.2,NA,52.1,13,57,0,70
7,Gujarat,112,457,0,569,537,1354,0,1891,649,1811,0,2460,535,1247,0,1782,3,4,0,7,538,1251,0,1789,82.9,69.1,NA,72.7,111,560,0,671
8,Haryana,231,780,0,1011,836,3109,1,3946,1067,3889,1,4957,853,3140,1,3994,3,0,0,3,856,3140,1,3997,80.2,80.7,100,80.6,211,749,0,960
9,Himachal Pradesh,26,51,0,77,96,346,0,442,122,397,0,519,86,335,0,421,5,0,0,5,91,335,0,426,74.6,84.4,NA,82.1,31,62,0,93
10,Jharkhand,670,1056,0,1726,637,1265,0,1902,1307,2321,0,3628,359,1223,0,1582,2,0,0,2,361,1223,0,1584,27.6,52.7,NA,43.7,946,1098,0,2044
11,Karnataka,350,631,0,981,1109,2386,0,3495,1459,3017,0,4476,1004,2072,0,3076,9,1,0,10,1013,2073,0,3086,69.4,68.7,NA,68.9,446,944,0,1390
12,Kerala,22,50,0,72,159,250,0,409,181,300,0,481,154,239,0,393,2,0,0,2,156,239,0,395,86.2,79.7,NA,82.1,25,61,0,86
